indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),"GDP 
(billions PPP)",GDP per capita (PPP),"GDP growth
(annual %)","health expenditure 
% of GDP","health expenditure 
per person","education expenditure
% of GDP","education expenditure 
per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Afghanistan,AFG,36000000,652230,,20.2,0.498,2.66,,64.1,1919.0,1.5,10.3,184.0,3.8,24.0,11.0,8.5,79.3,26.3,5,6,-2.78,-1.3,-1.3,-1.57,-1.52,28.2,26.2,17.9,91.8,51.3,10.0,27.7
Albania,ALB,2900000,27398,29.0,36.8,0.785,4.64,53.1,34.2,11840.0,2.6,6.8,774.0,,,16.0,16.3,72.7,30.1,3,3,0.4,0.1,0.2,-0.4,-0.42,25.4,39.9,54.1,85.1,64.5,70.0,27.9
Algeria,DZA,41000000,2381740,35.3,33.3,0.754,5.25,45.8,612.5,15027.0,3.7,7.1,,,,14.0,11.2,45.9,42.5,6,5,-0.96,-0.6,-1.2,-0.86,-0.61,35.2,29.0,27.8,74.0,44.7,30.0,25.8
Andorra,AND,77000,468,,,0.858,,,,,,12.0,,3.0,,,,,,1,1,1.45,1.9,1.2,1.6,1.24,,,,,,,32.1
Angola,AGO,30000000,1246700,42.7,,0.581,,28.4,187.3,6844.0,3.0,2.9,196.0,,,10.0,6.6,69.1,32.1,6,6,-0.29,-1.0,-1.0,-1.1,-1.41,25.4,18.9,36.0,82.4,48.6,40.0,38.2
Antigua & Barbuda,ATG,102000,443,,,0.78,,,,,,4.8,,,,14.0,,,,2,2,0.76,0.0,0.3,0.44,0.24,,,,,,,11.1
Argentina,ARG,44000000,2736690,41.7,35.2,0.825,6.04,57.3,874.1,20048.0,1.2,2.9,,5.4,657.0,17.0,6.6,55.6,38.5,2,2,0.18,0.2,-0.3,-0.25,-0.26,44.5,32.6,40.8,65.7,52.3,60.0,38.9
Armenia,ARM,3000000,28203,31.5,25.7,0.755,4.29,51.7,25.8,8621.0,3.0,10.1,883.0,2.2,90.0,13.0,16.8,80.0,25.8,5,4,-0.71,-0.1,0.3,-0.16,-0.56,47.4,40.5,55.3,84.7,68.7,70.0,18.1
Australia,AUS,25000000,7682300,30.3,21.2,0.9390000000000001,7.26,78.9,1187.3,48899.0,2.5,9.4,,5.2,,20.0,5.7,61.2,36.0,1,1,0.9,1.5,1.9,1.68,1.8,93.4,77.4,78.7,63.0,80.9,90.0,28.7
Austria,AUT,9000000,82445,30.5,30.5,0.9079999999999999,7.29,80.3,417.2,48005.0,0.9,10.3,,5.4,,16.0,6.1,19.4,51.8,1,1,1.04,1.5,1.4,1.81,1.53,80.9,73.5,83.5,49.9,71.8,70.0,30.6
Azerbaijan,AZE,10000000,82629,33.7,,0.757,5.15,51.1,165.5,17439.0,1.1,6.7,,2.6,208.0,13.0,5.1,59.4,36.8,7,6,-0.76,-0.2,-0.3,-0.56,-0.88,36.8,39.9,53.6,87.5,64.3,60.0,16.8
Bahamas,BHS,400000,10010,,,0.807,,60.4,9.0,24555.0,0.5,7.4,,,,,15.3,82.9,23.8,1,1,1.0,0.6,0.1,0.19,1.17,53.5,50.9,46.5,96.5,63.3,60.0,12.8
Bahrain,BHR,1300000,760,,,0.846,6.23,63.9,66.9,50704.0,3.2,5.2,,2.5,616.0,,1.3,66.4,33.4,7,6,-0.95,0.2,0.4,0.45,-0.14,55.1,51.8,62.1,99.9,67.7,80.0,7.5
Bangladesh,BGD,165000000,130170,32.1,38.4,0.608,4.31,35.3,628.4,3891.0,6.4,2.6,88.0,,,10.0,4.1,94.2,13.9,4,4,-1.25,-0.7,-0.8,-0.67,-0.83,32.6,21.2,32.4,72.7,55.1,30.0,20.3
Barbados,BRB,300000,430,,,0.8,,60.8,4.8,17100.0,0.5,7.5,,6.2,,15.0,11.4,39.3,45.0,1,1,0.98,0.8,0.5,0.66,1.42,54.4,53.8,51.4,74.0,57.0,60.0,16.7
Belarus,BLR,10000000,202900,26.5,21.7,0.8079999999999999,5.55,59.9,171.0,18000.0,-3.9,6.1,,4.8,401.0,16.0,0.5,47.9,41.7,6,6,0.03,-0.4,-0.7,-0.82,-0.26,57.3,42.0,53.5,89.8,58.1,10.0,34.5
Belgium,BEL,11000000,30278,25.9,23.7,0.9159999999999999,6.93,77.5,509.5,45047.0,1.4,10.5,,6.6,,20.0,8.3,12.1,54.1,1,1,0.42,1.2,1.2,1.34,1.5,69.5,70.9,81.2,44.0,67.5,70.0,38.0
Belize,BLZ,400000,22806,,33.8,0.708,,48.5,3.1,8220.0,1.5,6.2,524.0,6.5,314.0,13.0,11.0,65.5,33.9,1,2,0.05,-0.6,-0.5,-0.96,-0.27,53.5,34.7,42.1,80.0,57.1,50.0,9.4
Benin,BEN,11000000,110622,36.5,13.4,0.515,4.85,34.5,23.6,2119.0,5.2,4.0,84.0,4.3,41.0,12.0,1.0,85.6,21.9,2,2,0.05,-0.6,-0.5,-0.62,-0.55,31.3,30.2,35.5,67.4,56.7,50.0,7.2
Bhutan,BTN,800000,38394,38.8,28.6,0.612,,47.7,6.5,8227.0,7.7,3.5,287.0,5.9,148.0,13.0,2.4,72.2,30.5,3,4,1.13,0.6,-0.3,0.63,1.57,51.6,50.9,60.9,83.0,61.8,30.0,8.5
Bolivia,BOL,11000000,1083301,47.0,23.3,0.693,5.65,44.8,78.7,7219.0,4.8,6.4,446.0,7.3,228.0,,3.7,46.5,42.2,3,3,-0.3,-0.4,-0.9,-1.21,-0.66,11.4,23.1,19.0,85.7,44.1,40.0,53.1
Bosnia and Herzegovina,BIH,3900000,51187,33.8,25.3,0.768,5.09,50.2,42.2,10958.0,2.8,9.4,,,,14.0,25.8,41.5,44.1,4,4,-0.38,-0.5,-0.2,-0.21,-0.52,43.7,28.4,39.5,83.5,61.4,60.0,21.4
Botswana,BWA,2200000,566730,60.5,16.6,0.7170000000000001,3.5,44.1,36.7,17042.0,-0.3,6.0,970.0,,,13.0,18.4,63.4,34.9,3,2,1.03,0.4,0.5,0.51,0.8,54.7,56.6,57.7,76.1,69.9,70.0,9.5
Brazil,BRA,209000000,8358140,49.0,34.3,0.759,6.33,51.6,3141.3,15242.0,-3.8,8.9,,5.9,715.0,15.0,11.5,50.7,40.5,2,2,-0.41,-0.3,-0.1,-0.28,-0.53,55.5,31.4,55.8,70.6,51.4,50.0,10.7
Brunei,BRN,400000,5265,,,0.853,,72.5,32.5,76884.0,-0.2,2.6,,3.4,,15.0,2.0,57.7,37.5,6,5,1.19,1.1,0.7,0.65,0.71,57.1,45.4,56.6,85.6,64.2,50.0,9.1
Bulgaria,BGR,7000000,108489,40.2,20.4,0.813,,59.9,144.6,20327.0,3.0,8.2,,,,15.0,8.0,60.5,36.3,2,2,0.37,0.3,0.6,-0.04,-0.16,42.5,38.2,63.6,90.9,68.3,60.0,23.8
Burkina Faso,BFA,19000000,273800,39.5,17.9,0.423,4.65,33.4,32.8,1782.0,4.0,5.4,96.0,4.6,32.0,8.0,3.0,83.7,23.3,4,3,-0.92,-0.6,-0.4,-0.4,-0.11,47.1,31.8,42.1,80.6,60.0,40.0,11.0
Burundi,BDI,11000000,25680,42.4,15.6,0.41700000000000004,,28.3,7.9,814.0,-4.1,8.2,64.0,,,11.0,1.6,78.6,26.7,7,6,-1.97,-1.3,-0.8,-1.4,-1.28,21.7,26.2,17.6,71.0,50.9,30.0,36.4
Cabo Verde,CPV,500000,4033,,,0.654,,,3.5,6662.0,1.8,4.9,310.0,5.0,175.0,13.0,10.5,71.5,30.8,1,1,0.9,0.2,-0.2,0.41,0.84,52.0,42.8,42.1,74.0,60.0,60.0,23.6
Cambodia,KHM,16000000,176515,37.9,25.6,0.5820000000000001,4.59,38.5,59.0,3737.0,6.9,6.0,210.0,1.9,21.0,11.0,0.3,86.5,21.2,6,5,0.17,-0.7,-0.5,-1.06,-1.29,24.5,17.7,36.0,89.8,58.7,50.0,20.3
Cameroon,CMR,24000000,472710,44.6,16.7,0.556,5.07,32.1,76.9,3249.0,5.9,5.1,163.0,,,12.0,4.5,86.1,21.6,6,6,-1.08,-0.8,-0.8,-1.02,-1.18,29.4,23.4,40.6,73.7,51.9,50.0,31.1
Canada,CAN,37000000,9093507,32.1,23.9,0.9259999999999999,,76.9,1682.4,46437.0,1.2,10.4,,,,,7.1,52.3,39.9,1,1,1.11,1.9,1.9,1.8,1.92,77.1,78.3,87.5,76.7,77.7,80.0,26.3
Central African Republic,CAF,4900000,622984,43.6,,0.36700000000000005,3.48,16.1,3.2,652.0,4.3,4.8,32.0,,,7.0,6.9,94.6,13.4,7,7,-1.94,-1.8,-1.5,-1.73,-1.17,28.2,24.6,17.9,64.6,49.2,30.0,8.6
Chad,TCD,15000000,1259200,43.3,12.8,0.40399999999999997,4.56,20.4,29.0,2445.0,1.8,4.6,100.0,,,7.0,5.8,90.5,17.7,7,6,-1.34,-1.5,-1.2,-1.3,-1.43,24.1,23.1,25.1,44.8,49.3,40.0,12.8
Chile,CHL,18000000,743812,50.5,31.7,0.843,6.32,62.6,438.8,24113.0,2.1,8.1,,4.7,699.0,16.0,6.6,81.3,25.0,1,1,0.38,0.9,1.3,1.01,1.04,63.4,61.2,67.9,78.0,75.2,70.0,15.8
China,CHN,1386000000,9326410,46.5,25.7,0.752,5.1,50.8,21291.8,15399.0,6.9,5.3,762.0,,,14.0,4.6,71.6,30.7,7,6,-0.25,0.4,-0.2,-0.26,-0.27,65.4,47.3,46.7,70.4,57.8,20.0,24.2
Colombia,COL,49000000,1038700,51.1,40.7,0.843,6.16,49.1,688.8,14130.0,3.1,6.2,853.0,4.7,369.0,14.0,9.9,74.4,29.2,3,3,-0.79,-0.1,0.3,-0.36,-0.37,36.4,33.4,60.7,80.3,68.9,70.0,18.7
Comoros,COM,800000,2235,55.9,23.1,0.752,,,1.3,1529.0,1.0,8.0,121.0,4.9,41.0,11.0,20.0,77.8,27.2,3,4,0.03,-1.6,-1.0,-1.05,-0.68,28.2,27.5,36.7,59.7,56.2,30.0,6.1
Congo (Dem. Rep.),COD,81000000,2267048,42.1,,0.457,4.31,24.8,65.0,773.0,7.7,4.3,34.0,,,9.0,3.6,94.8,13.2,7,6,-2.3,-1.6,-1.5,-1.69,-1.42,23.9,27.3,24.1,73.2,52.1,20.0,8.9
Congo (Rep.),COG,4500000,341500,48.9,18.8,0.606,4.88,32.7,29.8,6676.0,2.5,3.4,203.0,,,11.0,11.2,33.4,47.1,7,5,-0.53,-1.2,-1.3,-1.1,-1.33,28.2,24.6,32.4,60.8,38.9,30.0,11.3
Costa Rica,CRI,4900000,51060,48.5,44.7,0.794,7.23,58.9,80.7,16436.0,3.7,8.1,,6.9,729.0,15.0,9.0,88.9,19.3,1,1,0.51,0.3,0.5,0.45,0.47,57.8,51.8,54.8,79.3,65.6,50.0,35.1
Cote d'Ivoire,CIV,24000000,318003,41.5,14.4,0.794,5.04,30.5,87.8,3609.0,8.6,5.4,190.0,4.6,72.0,9.0,9.3,84.6,22.6,4,4,-1.09,-0.7,-0.4,-0.63,-0.52,44.2,36.6,39.4,76.4,62.0,50.0,10.6
Croatia,HRV,4200000,55974,30.8,30.2,0.831,5.34,64.5,95.1,22795.0,1.6,7.4,,,,15.0,13.5,32.5,47.4,1,2,0.75,0.6,0.4,0.33,0.19,56.5,40.5,65.9,66.0,61.0,60.0,18.5
Cuba,CUB,11000000,109820,,,0.777,,,142.0,12390.0,4.3,,,,,14.0,2.9,0.0,62.4,7,6,0.69,-0.2,-1.3,-0.43,0.27,10.0,38.1,29.7,49.0,31.9,10.0,48.9
Cyprus,CYP,800000,9241,34.8,30.7,0.8690000000000001,6.06,65.9,29.7,34970.0,1.6,6.8,,,,15.0,11.7,52.9,39.6,1,1,0.6,0.9,1.0,0.88,0.78,56.7,41.3,71.2,75.2,67.8,60.0,17.9
Czech Republic,CZE,11000000,77247,,27.3,0.888,6.79,71.1,350.7,33232.0,4.2,7.3,,,,17.0,4.0,48.6,41.4,1,1,1.02,1.0,1.2,1.12,0.57,57.9,51.1,73.0,82.9,74.2,80.0,20.0
Denmark,DNK,6000000,42434,29.0,32.7,0.929,7.59,82.0,273.9,47985.0,1.2,10.3,,,,19.0,6.1,10.6,54.6,1,1,0.87,1.8,1.6,1.86,2.19,83.6,84.1,84.8,41.4,76.6,80.0,37.4
Djibouti,DJI,1000000,23180,40.9,16.4,0.47600000000000003,,,3.3,3370.0,6.5,4.4,147.0,,,6.0,6.6,27.2,49.3,6,5,-0.71,-1.0,-0.6,-0.91,-0.64,13.8,29.0,19.0,69.8,45.1,50.0,10.8
Dominica,DMA,100000,751,,,0.715,,,0.8,11375.0,-4.3,5.4,586.0,,,,,64.8,34.2,1,1,1.04,-0.3,0.1,0.65,0.65,69.2,49.9,48.6,72.9,64.5,30.0,25.0
Dominican Republic,DOM,11000000,48320,47.1,30.3,0.736,5.61,48.1,161.8,16050.0,7.0,6.2,873.0,,,13.0,14.4,90.6,17.7,3,3,0.16,-0.4,-0.1,-0.42,-0.74,23.1,26.2,51.7,84.6,61.6,40.0,26.8
Ecuador,ECU,17000000,276841,45.9,37.0,0.752,5.84,48.1,183.6,11109.0,0.0,6.8,980.0,,,15.0,5.4,52.5,39.8,3,3,-0.1,-0.3,-1.0,-0.7,-0.6,23.3,30.2,36.7,79.4,48.5,40.0,38.0
Egypt,EGY,98000000,995450,31.8,23.8,0.696,3.93,43.1,1132.4,12554.0,4.2,7.3,495.0,,,13.0,12.0,65.1,34.1,6,6,-1.42,-0.6,-0.9,-0.53,-0.54,52.5,32.2,32.7,84.2,53.4,50.0,14.9
El Salvador,SLV,6000000,20721,36.0,35.6,0.674,6.34,47.2,54.8,8909.0,2.4,10.3,578.0,3.4,124.0,13.0,6.3,86.3,21.3,2,3,-0.25,-0.4,-0.2,-0.86,-0.51,35.4,25.2,37.3,78.9,63.2,60.0,32.1
Equatorial Guinea,GNQ,800000,28051,,,0.591,,,31.7,38639.0,-12.2,4.4,790.0,,,,7.3,61.0,36.1,7,7,-0.15,-1.4,-1.4,-1.49,-1.83,17.6,26.2,29.8,69.6,42.0,30.0,24.0
Eritrea,ERI,5000000,101000,,,0.44,,,9.2,1410.0,4.8,5.4,56.0,,,5.0,7.3,75.6,28.5,7,7,-0.66,-1.7,-2.2,-1.56,-1.2,13.8,23.4,35.5,79.9,41.7,20.0,22.0
Estonia,EST,1300000,42388,34.8,17.9,0.871,5.94,70.8,38.5,29313.0,1.1,6.2,,,,16.0,6.9,52.6,39.8,1,1,0.66,1.1,1.6,1.28,1.24,83.9,75.7,80.4,80.7,78.8,80.0,26.7
Eswatini,SWZ,1100000,17204,50.4,15.5,0.588,,,11.1,9776.0,1.7,7.0,,,,11.0,25.3,65.2,34.1,7,6,-0.3,-0.6,-0.6,-0.29,-0.3,35.3,26.9,55.3,74.8,55.9,40.0,6.2
Ethiopia,ETH,105000000,1000000,33.0,26.7,0.46299999999999997,4.18,32.3,177.5,1946.0,10.2,4.0,66.0,,,8.0,5.7,90.6,17.7,7,6,-1.69,-0.7,-1.0,-0.45,-0.56,37.6,37.7,31.1,76.5,52.8,20.0,38.8
Fiji,FJI,900000,18274,,,0.741,,49.0,8.3,9268.0,4.3,3.6,331.0,,,,7.9,68.2,32.6,3,3,0.79,0.1,-0.2,-0.25,0.36,47.1,34.8,68.3,81.4,62.0,50.0,16.0
Finland,FIN,6000000,303815,27.2,31.3,0.92,7.79,81.3,231.4,42165.0,0.4,9.4,,7.2,,19.0,9.0,2.3,57.1,1,1,1.07,1.9,1.8,2.03,2.22,82.7,89.8,89.0,66.5,74.1,80.0,42.0
France,FRA,67000000,549970,29.3,30.4,0.9009999999999999,6.64,73.9,2733.7,42314.0,1.1,11.1,,5.5,,16.0,10.0,2.7,57.0,1,2,0.21,1.4,1.2,1.44,1.26,72.7,65.1,84.0,47.3,63.9,70.0,39.0
Gabon,GAB,1900000,257667,42.2,17.5,0.7020000000000001,4.78,40.9,35.9,19057.0,4.0,2.7,481.0,,,,18.5,84.6,22.6,7,5,-0.09,-0.9,-0.8,-0.68,-0.81,27.8,33.4,29.9,74.3,58.0,40.0,17.1
"Gambia, The",GMB,2100000,10120,50.2,,0.46,,,3.4,1667.0,4.4,6.6,,,,9.0,29.7,74.0,29.4,4,5,,,,,,38.8,36.8,34.4,71.9,52.3,50.0,10.3
Georgia,GEO,3700000,69700,40.1,31.1,0.78,4.45,55.4,37.2,10044.0,2.8,7.9,718.0,,,15.0,11.6,73.3,29.8,3,3,-0.37,0.6,1.1,0.33,0.74,64.2,61.8,62.8,87.0,76.2,60.0,16.0
Germany,DEU,83000000,348672,27.0,29.8,0.9359999999999999,7.07,79.6,3980.3,48111.0,1.5,11.2,,4.9,,17.0,4.3,41.3,44.2,1,1,0.58,1.7,1.8,1.61,1.84,78.0,75.3,81.0,61.3,74.2,70.0,37.0
Ghana,GHA,29000000,227533,42.3,21.4,0.5920000000000001,5.48,40.2,121.7,4412.0,3.5,5.9,249.0,6.2,89.0,12.0,5.8,79.0,26.5,1,2,0.09,-0.1,-0.1,0.13,-0.23,43.7,32.9,48.9,83.5,56.0,60.0,12.7
Greece,GRC,11000000,130647,36.7,23.6,0.87,5.15,64.1,289.4,26669.0,-0.2,8.4,,,,18.0,23.9,20.9,51.3,2,2,-0.13,0.3,0.2,0.08,-0.14,59.0,37.9,52.3,60.4,57.3,40.0,18.3
Grenada,GRD,108000,344,,,0.772,,,,,,5.0,677.0,,,17.0,,,,1,2,1.03,-0.2,-0.1,0.44,0.48,,,,,,,33.3
Guatemala,GTM,17000000,107159,53.0,34.2,0.65,6.33,42.5,131.7,7899.0,4.0,5.7,444.0,2.9,108.0,11.0,2.4,95.3,12.5,4,4,-0.57,-0.6,-0.3,-1.06,-0.74,33.1,27.3,40.4,79.2,63.4,50.0,12.7
Guinea,GIN,13000000,245717,39.4,,0.45899999999999996,4.87,28.3,16.0,1265.0,0.1,4.5,57.0,2.4,18.0,9.0,6.8,80.6,25.4,5,5,-0.61,-1.0,-0.8,-1.23,-1.01,28.2,26.9,32.4,65.9,52.2,40.0,21.9
Guinea-Bissau,GNB,1700000,28120,,,0.455,,,2.9,1730.0,4.8,6.9,100.0,,,,6.5,85.6,21.9,5,5,-0.6,-1.8,-1.2,-1.44,-1.56,53.5,27.3,31.1,86.4,56.9,30.0,13.7
Guyana,GUY,800000,196849,44.6,,0.654,,42.8,6.0,7873.0,3.0,4.5,336.0,,,10.0,11.4,70.8,31.2,2,3,-0.04,-0.3,-0.4,-0.29,-0.51,42.5,34.8,42.1,68.4,58.7,30.0,31.9
Haiti,HTI,11000000,27560,60.8,28.6,0.498,3.82,24.2,19.4,1784.0,1.0,6.9,120.0,,,,13.2,85.6,21.9,5,5,-0.7,-2.1,-1.3,-1.09,-1.24,42.5,24.6,25.1,80.1,55.8,30.0,2.5
Honduras,HND,9000000,111890,47.1,27.2,0.617,6.02,41.9,43.2,5272.0,3.6,7.6,353.0,,,11.0,6.3,76.6,27.9,4,4,-0.55,-0.5,-0.4,-1.05,-0.72,34.5,28.2,44.3,82.8,60.6,60.0,25.8
Hungary,HUN,10000000,89608,28.2,26.4,0.838,6.07,66.1,270.3,27482.0,2.9,7.2,,4.6,658.0,15.0,5.2,29.4,48.5,3,2,0.81,0.5,0.7,0.53,0.09,57.1,36.4,57.6,78.6,66.7,70.0,10.1
Iceland,ISL,300000,100250,28.0,31.1,0.935,7.48,83.7,16.5,49136.0,4.0,8.6,,,,20.0,3.8,44.2,43.1,1,1,1.37,1.5,1.4,1.61,1.84,72.6,77.3,86.7,72.1,77.0,70.0,47.6
India,IND,1339000000,2973193,35.2,29.2,0.64,4.05,40.0,8662.4,6616.0,7.3,3.9,238.0,,,12.0,3.5,77.7,27.3,2,3,-0.83,0.1,-0.3,0.0,-0.24,54.3,47.2,55.4,79.4,54.5,40.0,11.8
Indonesia,IDN,264000000,1811569,36.8,35.7,0.6940000000000001,5.1,46.4,3032.1,11720.0,4.8,3.3,369.0,3.3,115.0,13.0,5.6,90.7,17.6,2,4,-0.51,0.0,-0.1,-0.35,-0.25,45.2,42.8,49.3,83.7,64.2,60.0,19.8
Iran,IRN,81000000,1531595,44.5,24.0,0.7979999999999999,4.72,48.0,1454.5,18078.0,0.0,7.6,,2.8,155.0,15.0,11.3,91.1,17.2,6,6,-0.93,-0.2,-1.2,-0.68,-0.81,35.3,32.6,32.5,81.0,50.9,10.0,5.9
Iraq,IRQ,38000000,437367,,26.5,0.685,4.46,37.0,647.2,17944.0,2.4,3.4,481.0,,,,16.0,45.4,42.7,5,6,-2.33,-1.3,-1.2,-1.64,-1.37,11.4,23.4,36.7,,,,25.3
Ireland,IRL,4700000,68883,31.3,30.0,0.938,7.06,80.3,324.9,69231.0,7.8,7.8,,,,19.0,8.1,69.6,31.9,1,1,1.02,1.3,1.6,1.43,1.55,79.0,79.0,87.7,76.1,80.4,70.0,22.2
Israel,ISR,9000000,20330,42.8,28.8,0.903,7.33,66.5,300.6,35179.0,2.6,7.4,,5.7,,16.0,5.6,51.8,40.1,1,3,-0.88,1.4,1.3,1.02,0.83,83.1,61.2,78.2,60.9,72.2,70.0,27.5
Italy,ITA,61000000,294140,31.9,28.1,0.88,6.2,69.1,2234.5,36833.0,0.8,9.0,,4.1,,16.0,11.5,24.1,50.3,1,1,0.24,0.5,0.7,0.32,0.19,60.9,40.1,71.2,55.2,62.5,50.0,31.0
Jamaica,JAM,2800000,10831,35.0,36.9,0.732,5.89,49.7,25.4,8976.0,1.1,5.9,511.0,6.0,292.0,,13.3,77.2,27.6,2,3,0.25,0.5,0.1,-0.16,-0.17,56.6,39.4,60.9,80.0,69.1,50.0,17.5
Japan,JPN,127000000,364485,37.9,28.3,0.909,5.91,75.2,5237.8,41275.0,0.5,10.9,,3.6,,15.0,3.1,54.1,39.1,1,1,1.12,1.6,1.4,1.57,1.52,73.2,79.2,86.0,67.4,72.3,60.0,9.3
Jordan,JOR,10000000,88802,39.7,,0.735,4.81,48.7,85.6,12278.0,2.5,6.3,568.0,,,13.0,13.2,69.4,32.0,5,5,-0.53,0.1,0.1,0.26,0.26,57.3,51.9,57.6,92.4,64.9,60.0,15.4
Kazakhstan,KAZ,18000000,2699700,26.3,19.1,0.8,5.88,57.7,451.3,25145.0,1.2,3.9,903.0,,,15.0,5.2,85.3,22.2,7,5,0.02,0.0,0.2,-0.41,-0.82,58.1,44.6,56.0,92.6,69.1,50.0,27.1
Kenya,KEN,50000000,569140,48.5,24.2,0.59,4.48,35.4,152.8,3361.0,5.6,5.2,157.0,5.3,70.0,11.0,11.0,77.5,27.4,4,4,-1.08,-0.3,-0.2,-0.41,-0.96,44.0,27.5,47.9,78.5,54.7,50.0,21.8
Kiribati,KIR,100000,811,,,0.612,,,0.2,1823.0,4.2,7.6,152.0,,,12.0,,0.0,117.6,1,1,0.9,-0.3,-0.8,0.53,0.39,35.3,37.9,45.0,72.4,50.8,30.0,6.5
Korea (Dem. Peopleâ€™s Rep.),PRK,25000000,120408,,,,,,15.1,,1.0,,,,,11.0,4.3,0.0,,7,7,-0.48,-1.7,-2.3,-1.71,-1.48,5.0,25.2,29.8,0.0,5.8,0.0,16.3
Korea (Rep.),KOR,51000000,96920,35.7,24.8,0.903,5.87,,1934.0,37740.0,2.6,7.4,,5.1,,17.0,3.7,68.8,32.3,2,2,0.29,1.1,1.1,1.16,0.48,63.7,49.9,79.4,73.3,73.8,70.0,17.0
Kosovo,-,1900000,10887,23.2,,,6.15,,18.4,9600.0,3.3,,,,,,,77.9,27.1,3,4,-0.21,-0.4,-0.1,-0.42,-0.5,59.0,45.4,52.3,93.2,66.6,30.0,
Kuwait,KWT,4200000,17818,,,0.8029999999999999,6.09,65.7,303.7,71887.0,0.9,4.0,,,,13.0,2.4,20.5,51.5,5,5,-0.04,-0.2,-0.1,0.1,-0.33,53.5,36.6,52.0,97.7,62.2,60.0,3.1
