indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),"GDP 
Kyrgyzstan,KGZ,6000000,191801,33.4,33.1,0.672,5.63,45.4,21.5,3521.0,3.5,8.2,287.0,5.5,71.0,13.0,7.7,58.2,37.3,5,5,-0.43,-0.7,-0.4,-0.93,-1.05,22.1,29.4,50.2,93.8,62.8,50.0,19.2
Laos,LAO,7000000,230800,36.7,,0.601,4.62,37.8,40.9,5710.0,7.0,2.8,,2.9,59.0,11.0,1.5,79.3,26.3,7,6,0.43,-0.4,-0.7,-0.88,-0.94,41.4,33.1,34.1,86.7,53.6,20.0,27.5
Latvia,LVA,2000000,62249,34.5,17.1,0.847,6.09,66.1,50.6,25710.0,2.7,5.8,,5.3,828.0,16.0,9.9,59.0,37.0,2,2,0.46,0.9,1.2,0.93,0.54,58.9,45.4,68.3,84.0,73.6,60.0,16.0
Lebanon,LBN,4600000,10230,,21.9,0.757,5.15,44.8,85.2,18525.0,1.0,7.4,,,,11.0,6.8,78.2,26.9,6,4,-1.59,-0.5,-0.3,-0.82,-1.0,33.6,20.2,39.7,91.9,53.2,50.0,3.1
Lesotho,LSO,1900000,30355,63.2,16.7,0.52,,29.5,7.0,3601.0,2.5,8.4,251.0,,,11.0,27.4,23.8,50.4,3,3,-0.25,-0.9,-0.3,-0.27,-0.03,52.7,32.9,49.4,48.2,53.9,40.0,22.9
Liberia,LBR,4400000,96320,32.0,22.2,0.435,4.42,30.6,3.8,855.0,0.0,15.2,128.0,,,,4.0,59.4,36.8,3,3,-0.41,-1.4,-1.0,-0.97,-0.69,42.4,32.0,28.2,77.5,50.9,20.0,12.3
Libya,LBY,6000000,1759540,,,0.706,5.65,,55.4,8679.0,-6.4,,,,,,19.2,0.0,92.9,7,6,-2.33,-1.8,-2.2,-1.78,-1.59,22.1,23.1,5.2,90.5,,,16.0
Liechtenstein,LIE,38000,160,,,0.9159999999999999,,,6.1,160526.0,1.2,,,,,15.0,2.4,,,2,1,1.5,1.8,1.5,1.67,2.06,,,,,,80.0,12.0
Lithuania,LTU,2900000,62680,37.9,21.0,0.858,6.27,67.4,86.1,29972.0,1.6,6.5,,4.5,742.0,17.0,9.2,63.9,34.7,1,1,0.78,1.0,1.2,0.99,2.06,66.7,50.9,73.8,86.4,75.3,70.0,21.3
Luxembourg,LUX,600000,2586,30.4,13.2,0.904,7.06,83.2,59.9,104003.0,4.5,6.0,,4.0,,14.0,5.9,48.5,41.4,1,1,1.34,1.7,1.7,1.74,1.99,77.9,79.0,82.7,65.1,76.4,80.0,28.3
Macedonia,MKD,2100000,25433,33.7,23.4,,5.23,52.5,30.3,14597.0,3.7,6.1,857.0,,,13.0,26.7,70.3,31.5,4,3,-0.25,0.1,0.5,-0.24,-0.31,57.0,47.4,64.8,91.6,71.3,60.0,34.2
Madagascar,MDG,26000000,581540,41.0,,0.519,4.08,31.1,37.5,1505.0,3.0,5.2,77.0,,,11.0,2.1,92.9,15.4,3,4,-0.33,-1.1,-0.7,-0.86,-1.05,21.4,17.8,33.2,90.3,56.8,50.0,19.2
Malawi,MWI,19000000,94080,46.1,22.1,0.47700000000000004,3.42,32.5,21.1,1135.0,3.0,9.3,108.0,4.8,17.0,11.0,6.7,70.7,31.3,3,3,-0.27,-0.7,-0.8,-0.37,-0.65,47.1,28.9,33.1,76.9,52.0,50.0,16.7
Malaysia,MYS,32000000,328657,46.2,30.3,0.802,,59.8,863.3,27267.0,5.0,4.0,,5.2,583.0,13.0,3.3,81.3,24.9,4,4,0.16,0.8,0.7,0.41,0.03,65.2,54.8,83.8,85.6,74.5,50.0,10.4
Maldives,MDV,400000,298,38.4,,0.7170000000000001,,,5.5,15553.0,1.9,11.5,,3.5,314.0,,3.2,45.5,42.6,5,5,0.26,-0.5,-0.4,-0.62,-0.79,38.8,36.6,45.0,94.3,51.1,30.0,5.9
Mali,MLI,19000000,1220190,40.1,,0.42700000000000005,4.74,29.7,38.1,2266.0,6.1,5.8,118.0,3.6,31.0,8.0,8.1,85.3,22.2,5,4,-1.91,-0.9,-0.6,-0.78,-0.63,32.4,31.4,31.9,68.1,57.6,40.0,8.8
Malta,MLT,400000,316,28.1,29.0,0.878,6.68,68.8,17.3,39834.0,6.3,9.6,,7.2,,15.0,5.3,51.0,40.4,1,1,1.27,1.0,1.3,1.14,0.74,62.8,49.9,68.1,64.7,68.5,60.0,11.9
Marshall Islands,MHL,53000,181,,,0.708,,,,,,22.1,863.0,,,,,,,1,1,0.2,-1.6,-1.0,0.14,0.0,,,,,,,9.1
Mauritania,MRT,3800000,1030700,37.0,18.0,0.52,4.68,28.9,16.4,4328.0,1.9,4.6,177.0,,,9.0,11.7,72.8,30.1,6,5,-0.62,-0.7,-0.8,-0.6,-0.75,17.6,28.9,23.9,75.9,54.0,40.0,25.2
Mauritius,MUS,1300000,2030,35.9,27.4,0.79,6.17,60.2,25.9,20422.0,3.4,5.5,,4.9,499.0,15.0,7.8,80.7,25.4,1,2,0.99,0.9,1.0,0.68,0.2,69.6,52.1,68.7,91.0,75.1,70.0,11.6
Mexico,MEX,129000000,1943945,48.2,40.7,0.774,6.41,49.1,2315.7,18938.0,2.5,5.9,,5.3,564.0,13.0,4.0,78.1,27.0,3,3,-0.65,0.0,0.2,-0.57,-0.93,39.0,26.9,58.6,75.7,64.8,60.0,42.6
Micronesia,FSM,100000,702,61.1,,0.627,,,0.3,3234.0,-0.2,13.1,458.0,,,,,7.4,55.6,1,1,1.2,0.1,-1.0,0.01,0.75,25.4,38.8,5.2,93.2,52.3,30.0,0.0
Moldova,MDA,3600000,32891,26.8,,0.7,5.33,48.7,18.9,5328.0,-1.1,10.2,515.0,7.5,168.0,12.0,5.0,56.7,38.0,3,3,-0.24,-0.5,0.0,-0.41,-0.8,26.3,26.6,53.5,85.3,58.4,50.0,22.8
Monaco,MCO,39000,2,,,,,,,,,2.0,,1.0,,,,,,3,1,1.65,,,,,,,,,,,20.8
Mongolia,MNG,3000000,1553556,34.0,14.3,0.741,5.33,50.6,37.0,12275.0,2.3,3.9,470.0,4.7,197.0,15.0,6.7,57.1,37.8,1,2,0.82,-0.3,-0.1,-0.3,-0.45,30.9,34.8,51.0,88.4,55.7,60.0,17.1
Montenegro,MNE,600000,13452,31.9,25.1,0.8140000000000001,5.61,,10.4,16643.0,4.1,6.0,957.0,,,15.0,17.5,35.7,46.3,3,3,0.01,0.2,0.3,0.01,-0.09,51.3,38.1,54.2,85.2,64.3,50.0,23.5
Morocco,MAR,36000000,446300,40.9,32.7,0.667,5.31,45.8,281.8,8330.0,4.5,5.5,435.0,,,12.0,10.0,70.5,31.4,5,5,-0.41,-0.2,-0.2,-0.17,-0.13,44.3,41.3,53.8,70.5,61.9,70.0,20.5
Mozambique,MOZ,30000000,786380,45.6,23.7,0.43700000000000006,4.28,26.7,34.9,1215.0,6.3,5.4,64.0,,,10.0,24.4,60.7,36.2,4,4,-0.98,-0.9,-0.7,-1.01,-0.86,36.3,28.2,35.4,70.6,46.3,50.0,39.6
Myanmar,MMR,53000000,676575,,24.7,0.578,4.15,37.0,304.7,5832.0,7.0,4.9,267.0,,,,0.8,84.7,22.6,5,5,-1.08,-1.1,-0.8,-0.95,-0.56,17.6,28.2,32.5,86.3,53.9,20.0,10.2
Namibia,NAM,2300000,823290,59.7,21.6,0.647,4.44,39.1,26.0,11290.0,4.5,8.9,942.0,,,,25.6,50.4,40.7,2,2,0.65,0.2,-0.2,0.24,0.32,54.2,45.4,56.6,63.0,58.5,40.0,41.3
Nauru,NRU,14000,21,,,,,,,,,4.8,,,,9.0,,,,2,2,0.57,-0.4,-1.1,-0.73,-0.47,,,,,,,10.5
Nepal,NPL,29000000,143351,32.8,30.5,0.574,4.74,41.7,71.5,2479.0,3.4,6.1,151.0,4.0,28.0,12.0,3.2,87.6,20.3,3,4,-0.66,-0.9,-0.7,-0.68,-0.75,36.2,24.6,37.5,84.2,54.1,30.0,29.6
Netherlands,NLD,17000000,33893,30.3,35.3,0.9309999999999999,7.46,80.3,869.4,51049.0,1.9,10.7,,5.5,,18.0,6.2,39.1,45.0,1,1,0.92,1.9,2.1,1.83,1.87,74.1,86.0,87.9,52.5,76.2,80.0,36.0
New Zealand,NZL,4700000,264537,36.2,31.3,0.917,7.33,78.6,177.0,37294.0,3.4,9.3,,6.4,,19.0,5.2,49.5,41.0,1,1,1.59,1.8,2.1,1.92,2.24,88.4,95.7,95.1,70.5,84.2,80.0,34.2
Nicaragua,NIC,6000000,119990,47.1,38.7,0.6579999999999999,6.48,43.5,33.6,5452.0,4.5,7.8,406.0,,,,5.9,80.0,25.8,5,4,-0.05,-0.6,-0.7,-0.64,-0.87,19.0,24.2,29.8,77.2,58.9,50.0,45.7
Niger,NER,21000000,1266700,34.0,16.8,0.354,4.62,,20.1,1107.0,4.0,7.2,68.0,6.7,29.0,5.0,2.6,72.9,30.1,4,4,-1.3,-0.7,-0.7,-0.68,-0.65,32.6,30.4,37.4,73.3,49.5,40.0,17.0
Nigeria,NGA,191000000,910768,48.8,22.2,0.532,5.32,26.5,1091.2,5942.0,2.7,3.6,215.0,,,9.0,5.0,96.3,11.0,3,5,-1.94,-1.0,-0.9,-0.87,-1.07,39.6,14.4,38.0,84.4,58.5,40.0,5.6
Norway,NOR,5000000,304282,26.8,36.8,0.953,7.58,85.3,364.4,69250.0,1.6,10.0,,7.7,,18.0,4.8,29.2,48.6,1,1,1.15,2.0,1.8,2.02,2.24,86.0,93.6,86.4,56.4,74.3,60.0,39.6
Oman,OMN,4000000,309500,,21.1,0.821,,62.1,184.8,46698.0,4.1,2.7,,,,14.0,17.5,25.0,50.0,6,5,0.74,0.2,0.4,0.43,0.25,57.4,51.5,59.5,98.5,61.0,60.0,1.2
Pakistan,PAK,197000000,770875,30.7,31.5,0.562,5.83,27.9,988.2,5106.0,4.2,2.7,134.0,2.5,32.0,8.0,5.9,88.2,19.8,4,5,-2.4,-0.6,-0.6,-0.72,-0.78,34.0,27.3,36.0,78.5,54.4,40.0,20.6
Palau,PLW,22000,459,,,0.7979999999999999,,,,,,10.6,,,,17.0,,,,1,1,0.94,-0.2,-0.6,0.28,-0.47,,,,,,,12.5
Panama,PAN,4000000,74340,50.7,39.5,0.789,6.57,54.5,92.9,23024.0,5.8,7.0,,,,13.0,5.8,84.1,23.1,2,2,0.39,0.0,0.4,0.04,-0.54,29.4,38.8,60.9,85.0,67.0,70.0,18.3
Papua New Guinea,PNG,8000000,452860,50.9,,0.544,,,28.0,3541.0,9.0,3.8,99.0,,,,2.5,82.0,24.5,3,3,-0.58,-0.7,-0.7,-0.82,-0.9,55.1,33.1,38.0,71.1,55.7,30.0,0.0
Paraguay,PRY,7000000,397302,51.7,23.3,0.7020000000000001,,46.2,64.4,9396.0,3.0,7.8,724.0,,,12.0,5.4,82.2,24.4,3,3,0.12,-0.8,-0.2,-0.65,-0.72,28.2,28.3,38.3,96.1,62.1,60.0,13.8
Peru,PER,32000000,1279996,45.3,34.6,0.75,5.71,49.3,406.2,12903.0,3.3,5.3,671.0,3.7,240.0,13.0,4.9,85.6,21.9,2,3,-0.26,-0.1,0.4,-0.5,-0.5,33.5,36.6,56.9,80.6,68.7,60.0,27.7
Philippines,PHL,105000000,298170,44.4,35.0,0.6990000000000001,5.59,44.5,805.2,7728.0,5.8,4.4,323.0,,,13.0,5.9,89.3,18.9,3,3,-1.24,-0.1,0.0,-0.41,-0.48,38.2,34.4,45.0,78.9,65.0,60.0,29.5
Poland,POL,38000000,304255,30.8,27.5,0.865,6.2,67.7,1054.1,27764.0,3.6,6.3,,4.9,705.0,16.0,6.2,47.8,41.7,1,2,0.52,0.6,0.9,0.47,0.73,56.6,50.9,61.8,75.9,68.5,70.0,28.0
Portugal,PRT,10000000,91470,33.9,24.8,0.847,5.71,70.8,298.7,28933.0,1.5,9.0,,5.1,,17.0,11.2,29.8,48.4,1,1,1.08,1.3,0.9,1.13,0.87,70.1,56.8,69.2,59.8,63.4,60.0,34.8
Qatar,QAT,2600000,11586,,,0.856,,70.8,329.2,127660.0,3.3,2.7,,3.6,,13.0,0.2,60.2,36.4,6,5,0.55,0.7,0.4,0.72,0.73,59.8,71.6,70.3,99.6,72.6,60.0,0.0
Romania,ROU,20000000,229891,27.3,28.8,0.8109999999999999,6.09,60.0,441.6,22348.0,3.7,10.6,,3.1,313.0,15.0,6.4,66.9,33.2,2,2,0.06,-0.2,0.5,0.39,-0.03,59.7,40.0,61.0,87.3,69.4,50.0,20.7
Russia,RUS,144000000,16377742,41.2,18.7,0.816,5.58,57.0,3799.7,26490.0,-3.7,7.0,,,,15.0,5.7,62.5,35.3,7,6,-0.67,-0.1,-0.5,-0.79,-0.89,46.9,38.1,48.7,85.8,58.2,30.0,15.8
Rwanda,RWA,12000000,24668,50.4,19.6,0.524,,38.0,22.8,1977.0,6.9,3.8,143.0,,,11.0,2.5,77.7,27.2,6,6,0.04,0.3,0.2,0.13,0.63,79.6,61.2,69.8,75.8,69.1,40.0,61.3
Saint Kitts and Nevis,KNA,55000,261,,,0.778,,,,,,5.6,,,,,,,,1,1,0.64,0.6,0.6,0.53,0.51,,,,,,,13.3
Saint Lucia,LCA,200000,606,,,0.747,,,2.1,11783.0,1.6,6.0,681.0,4.3,381.0,,19.8,72.4,30.3,1,1,1.15,0.3,0.3,0.6,0.59,69.2,50.9,67.9,75.5,67.6,40.0,16.7
Saint Vincent and the Grenadines,VCT,100000,389,,,0.723,,,1.2,11271.0,1.6,4.2,470.0,,,,19.3,72.7,30.1,1,1,0.9,0.3,0.3,0.43,0.72,69.2,51.5,36.7,72.7,67.7,40.0,13.0
Samoa,WSM,200000,2821,,,0.713,,,1.1,5553.0,1.7,7.8,336.0,,,,7.2,55.1,38.7,2,2,1.2,0.6,-0.1,0.87,0.66,38.8,40.1,53.1,79.9,61.5,30.0,10.0
San Marino,SMR,33000,61,,,,,,,,,5.3,,,,15.0,,,,1,1,0.94,,,,,,,,,,,26.7
Sao Tome and Principe,STP,200000,964,30.8,,0.589,,,0.6,3072.0,4.0,4.4,308.0,3.7,68.0,13.0,13.6,69.5,31.9,2,2,0.22,-0.8,-0.8,-0.68,0.14,28.2,39.4,38.0,82.0,53.6,30.0,18.2
Saudi Arabia,SAU,33000000,2149690,45.9,,0.853,6.29,62.6,1750.9,55158.0,3.4,6.3,,,,16.0,5.5,52.0,40.0,7,7,-0.62,0.3,0.0,0.1,0.36,60.2,49.9,53.1,99.7,59.6,50.0,19.9
Senegal,SEN,16000000,192530,40.3,21.9,0.505,4.68,38.4,39.7,2577.0,6.5,9.0,97.0,7.4,78.0,9.0,9.5,72.7,30.2,2,2,-0.04,-0.3,-0.2,-0.15,-0.09,40.4,42.6,41.3,68.5,55.7,40.0,41.8
Serbia,SRB,7000000,77474,38.7,29.0,0.787,5.12,54.9,101.8,14493.0,0.7,9.4,,4.2,259.0,15.0,16.5,40.6,44.5,3,2,0.1,0.2,0.0,-0.19,-0.37,48.2,36.5,46.2,83.5,62.5,50.0,34.4
Seychelles,SYC,100000,455,,,0.797,,59.1,2.6,27602.0,4.4,3.4,867.0,,,14.0,,63.0,35.1,3,3,0.68,0.4,-0.2,0.1,0.68,38.8,38.8,60.7,73.4,61.6,30.0,21.2
Sierra Leone,SLE,8000000,71620,34.0,15.3,0.419,4.09,32.9,10.8,1672.0,-21.5,18.3,256.0,2.7,19.0,,3.0,89.8,18.4,3,3,0.03,-1.2,-0.9,-0.79,-0.59,29.6,22.0,33.6,79.9,51.8,20.0,12.4
Singapore,SGP,6000000,709,45.9,,0.932,6.38,81.8,492.6,87855.0,2.0,4.3,,,,13.0,1.8,90.6,17.7,4,4,1.59,2.2,2.1,1.82,2.13,90.9,91.2,98.4,90.4,88.8,80.0,23.0
Slovakia,SVK,5000000,48105,23.7,28.2,0.855,6.37,67.4,170.1,31339.0,3.6,6.9,,4.2,788.0,15.0,10.0,44.3,43.1,1,1,0.88,0.8,0.8,0.57,0.22,38.8,38.2,68.2,78.9,65.3,70.0,20.0
Slovenia,SVN,2100000,20151,24.4,24.6,0.8959999999999999,6.17,72.6,66.2,32085.0,2.9,8.5,,5.3,,17.0,8.7,31.2,47.9,1,1,0.89,1.2,0.6,1.02,0.81,57.7,52.1,76.6,58.7,64.8,50.0,36.7
Solomon Islands,SLB,600000,27986,,,0.546,,,1.2,1973.0,3.3,8.0,173.0,,,,31.4,35.6,46.3,3,2,0.21,-1.0,-0.8,-0.21,0.11,57.3,36.8,49.4,65.5,57.5,30.0,2.0
Somalia,SOM,15000000,627337,,,,,,5.9,,3.7,,,,,,6.6,,,7,7,-2.33,-2.2,-2.3,-2.31,-1.72,25.4,17.8,33.1,,,,24.4
South Africa,ZAF,57000000,1214470,62.5,15.9,0.6990000000000001,4.51,38.5,739.4,13225.0,1.3,8.2,,6.0,389.0,13.0,25.9,68.1,32.6,2,2,-0.27,0.3,0.2,-0.01,-0.01,65.9,45.4,67.7,62.5,63.0,50.0,42.0
South Sudan,SSD,13000000,644329,46.0,,0.38799999999999996,2.82,,,,,2.5,71.0,1.7,22.0,,,,,7,7,-2.46,-2.5,-1.9,-1.94,-1.71,,,,,,,28.5
Spain,ESP,47000000,498980,35.9,36.0,0.8909999999999999,6.23,71.8,1686.9,36416.0,3.2,9.2,,4.3,,18.0,19.4,42.8,43.7,1,1,0.27,1.0,0.9,1.01,0.49,62.0,51.5,73.1,62.0,65.1,70.0,39.1
Sri Lanka,LKA,21000000,64630,39.2,33.8,0.77,4.33,49.3,260.6,12262.0,5.2,3.0,353.0,1.9,74.0,14.0,5.0,89.3,18.9,3,4,-0.06,-0.2,-0.1,0.06,-0.45,52.0,30.7,46.5,84.9,57.8,40.0,5.8
Sudan,SDN,41000000,1861484,,,0.502,,26.5,176.1,4447.0,3.5,6.3,277.0,,,7.0,13.3,95.3,12.5,7,7,-2.01,-1.4,-0.6,-1.11,-1.54,21.4,21.2,27.8,85.9,49.4,20.0,30.5
Suriname,SUR,600000,156000,,25.4,0.72,,52.7,7.9,13988.0,0.1,6.5,,,,,10.0,76.4,28.1,2,2,0.14,-0.6,-0.5,-0.15,-0.17,21.4,39.9,39.7,71.4,48.1,30.0,25.5
Sweden,SWE,10000000,410335,24.9,28.0,0.9329999999999999,7.29,81.9,498.1,49836.0,4.1,11.0,,7.7,,18.0,7.1,23.2,50.6,1,1,0.98,1.8,1.8,1.94,2.14,88.2,92.9,92.6,43.9,76.3,80.0,43.6
Switzerland,CHE,8000000,39997,29.5,34.3,0.9440000000000001,7.47,83.8,496.0,59561.0,0.9,12.1,,5.1,,16.0,4.6,65.4,34.0,1,1,1.21,2.1,1.9,1.93,1.99,82.1,82.8,84.2,70.5,81.7,90.0,32.5
Syria,SYR,18000000,183630,,19.1,0.536,,,21.0,,-4.8,,,,,9.0,14.3,,,7,7,-2.63,-1.8,-1.8,-2.09,-1.56,22.1,23.1,36.7,,,,13.2
Taiwan,TWN,24000000,32260,33.6,,,6.36,,1132.1,48095.0,0.7,6.9,,,,,4.0,90.4,17.8,1,1,0.89,1.27,1.37,1.14,0.96,69.2,70.9,84.3,76.1,76.6,60.0,
Tajikistan,TJK,9000000,141510,32.6,34.2,0.65,5.83,41.3,26.0,3008.0,3.0,6.1,193.0,,,11.0,10.8,71.4,30.9,7,6,-0.67,-1.1,-1.1,-1.35,-1.33,50.3,38.2,46.8,91.8,58.3,30.0,19.0
Tanzania,TZA,57000000,885800,37.6,22.1,0.5379999999999999,3.35,36.0,149.8,3080.0,7.0,3.8,96.0,3.5,32.0,8.0,2.6,89.8,18.5,4,4,-0.58,-0.6,-0.6,-0.45,-0.48,34.7,31.8,38.0,79.8,59.9,50.0,36.4
Thailand,THA,69000000,510890,44.5,37.3,0.755,5.94,52.4,1164.9,16888.0,2.8,3.1,610.0,,,16.0,0.6,85.5,22.0,6,5,-0.76,0.4,0.1,0.04,-0.39,45.3,34.7,48.6,81.3,67.1,60.0,4.8
Timor-Leste,TLS,1200000,14874,31.9,,0.625,,,5.0,4187.0,4.3,3.1,141.0,,,13.0,4.0,30.9,48.0,2,3,0.03,-1.0,-0.7,-1.17,-0.54,13.8,32.0,29.9,97.4,48.1,20.0,32.3
Togo,TGO,8000000,54385,46.0,13.2,0.503,4.36,34.9,11.6,1550.0,5.3,6.6,96.0,4.9,30.0,12.0,6.8,73.3,29.8,4,4,-0.74,-1.1,-0.8,-0.71,-0.71,28.2,31.4,32.7,64.3,47.8,30.0,17.6
Tonga,TON,100000,717,,,0.726,,,0.6,5387.0,2.6,5.9,324.0,,,,4.9,68.7,32.3,2,2,0.79,-0.2,-0.4,0.31,-0.16,25.4,40.5,62.1,85.4,63.1,20.0,3.8
Trinidad and Tobago,TTO,1400000,5128,,15.7,0.784,6.19,58.7,43.6,31870.0,-1.8,6.0,,,,,3.9,54.4,39.0,2,2,0.29,0.3,0.0,-0.11,-0.36,49.8,33.1,54.9,83.5,57.7,50.0,31.0
Tunisia,TUN,12000000,155360,40.0,26.2,0.735,4.12,49.3,130.6,11634.0,0.8,6.7,774.0,,,15.0,14.8,75.5,28.6,2,3,-1.05,-0.1,-0.4,0.07,-0.11,41.7,36.8,49.4,73.0,58.9,30.0,31.3
Turkey,TUR,81000000,769632,40.2,26.4,0.7909999999999999,5.61,53.3,1988.3,24912.0,3.8,4.1,996.0,4.4,530.0,16.0,10.3,68.1,32.6,5,6,-1.8,0.1,0.0,-0.25,-0.19,54.5,42.0,54.7,74.7,65.4,60.0,14.6
Turkmenistan,TKM,6000000,469930,40.8,14.6,0.706,5.23,,95.5,17485.0,6.5,6.3,,,,11.0,8.6,92.2,16.1,7,7,-0.15,-1.2,-2.0,-1.49,-1.48,5.0,27.3,29.8,95.9,47.1,10.0,25.8
Tuvalu,TUV,11000,26,,,,,,,,,15.0,523.0,,,,,,,1,1,1.27,-0.7,-0.8,0.56,0.06,,,,,,,6.7
Uganda,UGA,43000000,197100,39.5,19.4,0.516,4.0,30.9,85.0,2068.0,5.0,7.3,139.0,2.3,16.0,10.0,2.3,90.9,17.4,6,4,-0.56,-0.6,-0.2,-0.3,-1.04,40.3,28.3,43.5,73.0,62.0,40.0,34.3
Ukraine,UKR,45000000,579330,25.5,26.4,0.7509999999999999,4.31,52.5,353.0,8305.0,-9.9,6.1,469.0,5.9,173.0,15.0,8.9,45.0,42.8,3,3,-1.89,-0.5,-0.3,-0.71,-0.78,29.5,29.0,41.0,80.2,51.9,30.0,12.3
United Arab Emirates,ARE,9000000,83600,,,0.863,7.04,70.4,668.9,67871.0,3.9,3.5,,,,,3.7,70.9,31.2,7,6,0.63,1.4,1.0,0.8,1.13,83.4,77.3,76.3,98.4,77.6,60.0,22.5
United Kingdom,GBR,66000000,241930,32.4,31.9,0.922,7.1,74.6,2785.6,42481.0,2.2,9.9,,5.7,,18.0,4.8,44.4,43.0,1,1,0.26,1.4,1.7,1.68,1.84,93.8,79.0,92.2,65.2,78.0,80.0,32.0
United States,USA,326000000,9147593,45.0,20.7,0.924,6.99,76.0,18569.1,57436.0,2.4,16.8,,5.0,,17.0,4.9,56.5,38.1,2,1,0.3,1.6,1.6,1.64,1.38,76.9,71.9,79.3,65.1,75.7,80.0,19.4
Uruguay,URY,3500000,175015,41.6,36.1,0.804,6.34,64.2,74.9,21527.0,1.5,9.2,,,,16.0,8.2,68.6,32.4,1,1,1.06,0.4,0.7,0.59,1.29,67.0,71.6,69.3,78.0,69.2,30.0,20.2
Uzbekistan,UZB,32000000,425400,36.8,29.1,0.71,6.42,43.1,205.7,6563.0,8.0,6.2,383.0,,,12.0,8.9,65.5,33.9,7,7,-0.28,-0.6,-1.3,-1.11,-1.16,35.3,24.2,48.7,91.0,51.5,10.0,16.0
Vanuatu,VUT,300000,12189,,40.6,0.603,,,0.7,2631.0,-0.8,3.5,106.0,4.9,3.0,,5.4,78.5,26.8,2,2,0.71,-0.9,-0.3,0.49,0.01,47.1,75.4,67.9,97.0,69.5,40.0,0.0
Venezuela,VEN,32000000,882050,39.0,33.6,0.7609999999999999,,43.1,427.0,13761.0,-5.7,3.2,579.0,,,14.0,6.9,57.3,37.7,6,5,-1.18,-1.4,-2.0,-2.26,-1.36,13.8,7.5,5.2,72.5,25.2,10.0,22.2
Vietnam,VNM,96000000,310070,34.8,40.3,0.6940000000000001,5.18,50.8,595.5,6429.0,6.7,5.7,334.0,,,,2.2,74.0,29.4,7,5,0.31,0.0,-0.4,0.07,-0.58,36.3,30.4,46.4,79.7,53.1,40.0,26.7
Yemen,YEM,28000000,527968,37.9,22.8,0.452,3.25,23.9,69.2,2375.0,-28.1,6.0,144.0,,,,17.1,80.9,25.2,7,6,-2.96,-1.9,-1.5,-1.75,-1.59,16.6,21.2,17.9,,,,0.0
Zambia,ZMB,17000000,743398,57.5,25.2,0.588,3.93,33.2,64.9,3880.0,3.6,5.4,203.0,,,,7.5,80.2,25.7,4,4,0.11,-0.6,-0.5,-0.33,-0.54,40.6,36.3,46.0,72.1,54.3,50.0,18.0
Zimbabwe,ZWE,17000000,386847,43.2,22.1,0.535,3.64,29.7,28.6,1970.0,1.5,10.3,182.0,7.5,78.0,10.0,5.1,72.0,30.6,6,5,-0.77,-1.2,-1.6,-1.38,-1.27,33.0,18.9,27.6,61.1,44.0,10.0,32.6
